# Face Region Partition Results
# Total vertices: 7160
# Vertex order: Open3D order (may differ from OBJ file)
# Format: vertex_index, region_label
#
0,4
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,2
17,4
18,1
19,4
20,4
21,1
22,1
23,1
24,4
25,4
26,4
27,1
28,1
29,1
30,1
31,1
32,1
33,4
34,4
35,4
36,4
37,1
38,1
39,1
40,1
41,1
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,4
53,4
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,1
69,1
70,1
71,1
72,1
73,5
74,5
75,6
76,6
77,6
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,4
93,4
94,6
95,6
96,6
97,6
98,6
99,1
100,1
101,1
102,1
103,1
104,1
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,4
123,4
124,4
125,4
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,4
135,4
136,4
137,4
138,4
139,4
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,6
155,6
156,6
157,6
158,6
159,4
160,1
161,1
162,6
163,6
164,6
165,6
166,6
167,4
168,1
169,4
170,4
171,4
172,6
173,6
174,4
175,4
176,4
177,4
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,2
192,2
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,1
205,2
206,2
207,2
208,4
209,2
210,4
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
224,4
225,4
226,1
227,1
228,1
229,2
230,2
231,2
232,2
233,2
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,2
257,2
258,2
259,2
260,2
261,4
262,4
263,4
264,4
265,2
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,2
293,1
294,1
295,2
296,2
297,2
298,2
299,2
300,4
301,4
302,4
303,4
304,2
305,4
306,4
307,4
308,4
309,4
310,4
311,5
312,5
313,4
314,4
315,4
316,4
317,4
318,4
319,4
320,4
321,4
322,4
323,6
324,6
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,2
341,1
342,2
343,2
344,2
345,2
346,4
347,4
348,4
349,4
350,2
351,4
352,2
353,4
354,4
355,4
356,4
357,4
358,6
359,6
360,6
361,6
362,5
363,5
364,5
365,5
366,5
367,5
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,5
377,5
378,5
379,5
380,4
381,5
382,4
383,4
384,4
385,4
386,4
387,4
388,4
389,4
390,4
391,4
392,4
393,6
394,6
395,6
396,6
397,6
398,6
399,6
400,6
401,6
402,6
403,6
404,6
405,6
406,6
407,6
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,2
426,2
427,1
428,2
429,2
430,2
431,2
432,2
433,4
434,4
435,2
436,4
437,2
438,2
439,4
440,2
441,4
442,4
443,4
444,4
445,4
446,4
447,4
448,6
449,6
450,6
451,5
452,5
453,6
454,5
455,5
456,5
457,5
458,5
459,5
460,5
461,5
462,5
463,5
464,5
465,5
466,5
467,5
468,5
469,5
470,5
471,5
472,5
473,4
474,4
475,5
476,4
477,4
478,4
479,4
480,4
481,4
482,4
483,4
484,4
485,4
486,4
487,4
488,4
489,4
490,4
491,6
492,6
493,6
494,6
495,6
496,6
497,6
498,6
499,6
500,6
501,6
502,6
503,6
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,2
529,1
530,1
531,2
532,2
533,2
534,2
535,2
536,4
537,4
538,4
539,4
540,2
541,4
542,2
543,2
544,4
545,2
546,4
547,4
548,4
549,4
550,4
551,6
552,6
553,6
554,6
555,5
556,5
557,5
558,5
559,5
560,5
561,5
562,5
563,5
564,5
565,5
566,5
567,5
568,5
569,5
570,5
571,5
572,5
573,4
574,4
575,5
576,4
577,4
578,4
579,4
580,4
581,4
582,4
583,4
584,4
585,4
586,4
587,4
588,4
589,4
590,4
591,4
592,4
593,4
594,4
595,4
596,6
597,6
598,6
599,6
600,6
601,6
602,6
603,6
604,6
605,6
606,6
607,6
608,6
609,6
610,6
611,6
612,6
613,6
614,6
615,6
616,6
617,6
618,6
619,6
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,2
646,1
647,2
648,2
649,2
650,2
651,2
652,2
653,4
654,4
655,4
656,2
657,2
658,4
659,2
660,2
661,4
662,2
663,4
664,4
665,4
666,4
667,4
668,6
669,6
670,5
671,5
672,5
673,5
674,5
675,5
676,5
677,5
678,5
679,5
680,5
681,5
682,5
683,5
684,5
685,4
686,4
687,4
688,4
689,4
690,5
691,4
692,4
693,4
694,4
695,4
696,4
697,4
698,4
699,4
700,4
701,4
702,4
703,4
704,4
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,4
713,4
714,4
715,4
716,6
717,6
718,6
719,6
720,6
721,6
722,6
723,6
724,6
725,6
726,6
727,6
728,6
729,6
730,6
731,6
732,6
733,6
734,6
735,6
736,6
737,6
738,6
739,6
740,6
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,2
766,1
767,2
768,2
769,2
770,2
771,2
772,2
773,4
774,4
775,4
776,3
777,2
778,4
779,2
780,2
781,2
782,2
783,4
784,2
785,4
786,4
787,4
788,4
789,4
790,6
791,6
792,6
793,5
794,5
795,5
796,5
797,5
798,5
799,5
800,5
801,5
802,5
803,5
804,5
805,5
806,5
807,5
808,4
809,4
810,4
811,5
812,4
813,4
814,4
815,4
816,4
817,4
818,4
819,4
820,4
821,4
822,4
823,4
824,4
825,4
826,4
827,4
828,4
829,4
830,4
831,4
832,4
833,4
834,4
835,4
836,4
837,4
838,4
839,4
840,6
841,6
842,6
843,6
844,6
845,6
846,6
847,6
848,6
849,6
850,6
851,6
852,6
853,6
854,6
855,6
856,6
857,6
858,6
859,6
860,6
861,6
862,6
863,6
864,6
865,6
866,6
867,6
868,6
869,6
870,6
871,6
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,2
895,1
896,2
897,2
898,2
899,2
900,2
901,2
902,3
903,4
904,3
905,3
906,2
907,2
908,2
909,2
910,2
911,2
912,4
913,3
914,4
915,3
916,4
917,3
918,4
919,4
920,4
921,4
922,4
923,6
924,6
925,5
926,5
927,5
928,5
929,5
930,5
931,5
932,5
933,5
934,5
935,5
936,5
937,5
938,5
939,5
940,5
941,5
942,4
943,4
944,4
945,4
946,4
947,4
948,5
949,4
950,4
951,4
952,4
953,4
954,4
955,4
956,4
957,4
958,4
959,4
960,4
961,4
962,4
963,4
964,4
965,4
966,4
967,4
968,4
969,4
970,6
971,6
972,6
973,6
974,6
975,6
976,6
977,6
978,6
979,6
980,6
981,6
982,6
983,6
984,6
985,6
986,6
987,6
988,6
989,6
990,6
991,6
992,6
993,6
994,6
995,6
996,6
997,6
998,6
999,6
1000,6
1001,6
1002,6
1003,6
1004,6
1005,6
1006,6
1007,6
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,2
1029,1
1030,2
1031,2
1032,2
1033,2
1034,2
1035,2
1036,2
1037,3
1038,3
1039,3
1040,3
1041,2
1042,2
1043,3
1044,3
1045,2
1046,2
1047,2
1048,3
1049,3
1050,4
1051,3
1052,4
1053,3
1054,4
1055,4
1056,6
1057,6
1058,6
1059,5
1060,5
1061,5
1062,5
1063,5
1064,5
1065,5
1066,5
1067,5
1068,5
1069,5
1070,5
1071,5
1072,5
1073,4
1074,4
1075,4
1076,4
1077,5
1078,4
1079,4
1080,4
1081,4
1082,4
1083,4
1084,4
1085,4
1086,4
1087,6
1088,6
1089,6
1090,6
1091,6
1092,6
1093,6
1094,6
1095,6
1096,6
1097,6
1098,6
1099,6
1100,6
1101,6
1102,6
1103,6
1104,6
1105,6
1106,6
1107,6
1108,6
1109,6
1110,6
1111,6
1112,6
1113,6
1114,6
1115,6
1116,6
1117,6
1118,6
1119,6
1120,6
1121,6
1122,6
1123,6
1124,6
1125,6
1126,6
1127,6
1128,6
1129,6
1130,6
1131,6
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,2
1152,1
1153,2
1154,2
1155,2
1156,2
1157,2
1158,2
1159,2
1160,2
1161,3
1162,3
1163,3
1164,3
1165,2
1166,2
1167,2
1168,2
1169,2
1170,3
1171,3
1172,3
1173,3
1174,2
1175,3
1176,3
1177,3
1178,3
1179,4
1180,3
1181,6
1182,6
1183,5
1184,5
1185,5
1186,5
1187,5
1188,5
1189,5
1190,5
1191,5
1192,5
1193,5
1194,5
1195,5
1196,5
1197,5
1198,5
1199,5
1200,4
1201,4
1202,4
1203,4
1204,4
1205,5
1206,4
1207,4
1208,4
1209,4
1210,4
1211,6
1212,6
1213,6
1214,6
1215,6
1216,6
